ID	pair	second_dim_step	first_dim_step	avg_response
5031	kata-katta	5	3	45
5031	kata-katta	5	4	39.3333333333333
5031	kata-katta	5	5	66.6666666666667
5031	kata-katta	5	6	56.6666666666667
5031	kata-katta	5	7	35
5031	toru-tooru	1	1	26
5031	toru-tooru	1	2	16
5031	toru-tooru	1	3	27
5031	toru-tooru	1	4	51.6666666666667
5031	toru-tooru	1	5	77.6666666666667
5031	toru-tooru	1	6	73.5
5031	toru-tooru	1	7	89
5031	toru-tooru	2	1	21
5031	toru-tooru	2	2	45
5031	toru-tooru	2	3	56.3333333333333
5031	toru-tooru	2	4	21
5031	toru-tooru	2	5	72.3333333333333
5031	toru-tooru	2	6	81
5031	toru-tooru	2	7	79
5031	toru-tooru	3	1	20
5031	toru-tooru	3	2	56.3333333333333
5031	toru-tooru	3	3	56.6666666666667
5031	toru-tooru	3	4	44.3333333333333
5031	toru-tooru	3	5	29.5
5031	toru-tooru	3	6	75.3333333333333
5031	toru-tooru	3	7	83
5031	toru-tooru	4	1	29.6666666666667
5031	toru-tooru	4	2	52.5
5031	toru-tooru	4	3	50.6666666666667
5031	toru-tooru	4	4	51
5031	toru-tooru	4	5	9.5
5031	toru-tooru	4	6	85.3333333333333
5031	toru-tooru	4	7	78.6666666666667
5031	toru-tooru	5	1	13.6666666666667
5031	toru-tooru	5	2	26.6666666666667
5031	toru-tooru	5	3	70.5
5031	toru-tooru	5	4	46.6666666666667
5031	toru-tooru	5	5	60.3333333333333
5031	toru-tooru	5	6	76
5031	toru-tooru	5	7	80.3333333333333
5096	indent-intent	1	1	2.33333333333333
5096	indent-intent	1	2	2.33333333333333
5096	indent-intent	1	3	6.33333333333333
5096	indent-intent	1	4	93.3333333333333
5096	indent-intent	1	5	98
5096	indent-intent	1	6	91.3333333333333
5096	indent-intent	1	7	98.3333333333333
5096	indent-intent	2	1	1.66666666666667
5096	indent-intent	2	2	5
5096	indent-intent	2	3	55
5096	indent-intent	2	4	96
5096	indent-intent	2	5	97.3333333333333
5096	indent-intent	2	6	96.3333333333333
5096	indent-intent	2	7	98.3333333333333
5096	indent-intent	3	1	1.33333333333333
5096	indent-intent	3	2	3
5096	indent-intent	3	3	67.6666666666667
5096	indent-intent	3	4	97.3333333333333
5096	indent-intent	3	5	96
5096	indent-intent	3	6	96.3333333333333
5096	indent-intent	3	7	97.3333333333333
5096	indent-intent	4	1	3
5096	indent-intent	4	2	30
5096	indent-intent	4	3	93.6666666666667
5096	indent-intent	4	4	94
5096	indent-intent	4	5	96.3333333333333
5096	indent-intent	4	6	96.3333333333333
5096	indent-intent	4	7	94.3333333333333
5096	indent-intent	5	1	2.33333333333333
5096	indent-intent	5	2	4.66666666666667
5096	indent-intent	5	3	93.6666666666667
5096	indent-intent	5	4	96.3333333333333
5096	indent-intent	5	5	99
5096	indent-intent	5	6	98.3333333333333
5096	indent-intent	5	7	98.5
5096	reason-risen	1	1	1
5096	reason-risen	1	2	5.66666666666667
5096	reason-risen	1	3	17
5096	reason-risen	1	4	70.6666666666667
5096	reason-risen	1	5	68
5096	reason-risen	1	6	97.3333333333333
5096	reason-risen	1	7	97
5096	reason-risen	2	1	1.66666666666667
5096	reason-risen	2	2	1.33333333333333
5096	reason-risen	2	3	1
5096	reason-risen	2	4	65.3333333333333
5096	reason-risen	2	5	98.3333333333333
5096	reason-risen	2	6	99.3333333333333
5096	reason-risen	2	7	98.6666666666667
5096	reason-risen	3	1	1.33333333333333
5096	reason-risen	3	2	0.333333333333333
5096	reason-risen	3	3	34.3333333333333
5096	reason-risen	3	4	65.3333333333333
5096	reason-risen	3	5	92
5096	reason-risen	3	6	98.6666666666667
5096	reason-risen	3	7	98.3333333333333
5096	reason-risen	4	1	0.333333333333333
5096	reason-risen	4	2	9
5096	reason-risen	4	3	10.6666666666667
5096	reason-risen	4	4	50.3333333333333
5096	reason-risen	4	5	82.6666666666667
5096	reason-risen	4	6	98
5096	reason-risen	4	7	99
5096	reason-risen	5	1	32
5096	reason-risen	5	2	6.33333333333333
5096	reason-risen	5	3	65.6666666666667
5096	reason-risen	5	4	94.6666666666667
5096	reason-risen	5	5	98
5096	reason-risen	5	6	98.3333333333333
5096	reason-risen	5	7	98.3333333333333
5096	kata-katta	1	1	1.33333333333333
5096	kata-katta	1	2	4.66666666666667
5096	kata-katta	1	3	95.3333333333333
5096	kata-katta	1	4	64
5096	kata-katta	1	5	97
5096	kata-katta	1	6	93.3333333333333
5096	kata-katta	1	7	98
5096	kata-katta	2	1	2.5
5096	kata-katta	2	2	63
5096	kata-katta	2	3	63.6666666666667
5096	kata-katta	2	4	95
5096	kata-katta	2	5	94.3333333333333
5096	kata-katta	2	6	96
5096	kata-katta	2	7	96.6666666666667
5096	kata-katta	3	1	1
5096	kata-katta	3	2	2
5096	kata-katta	3	3	34.6666666666667
5096	kata-katta	3	4	66
5096	kata-katta	3	5	64.3333333333333
5096	kata-katta	3	6	97.6666666666667
5096	kata-katta	3	7	97.3333333333333
5096	kata-katta	4	1	3.33333333333333
5096	kata-katta	4	2	1.33333333333333
5096	kata-katta	4	3	3.66666666666667
5096	kata-katta	4	4	64
5096	kata-katta	4	5	65
5096	kata-katta	4	6	95.3333333333333
5096	kata-katta	4	7	93.3333333333333
5096	kata-katta	5	1	2.66666666666667
5096	kata-katta	5	2	32.3333333333333
5096	kata-katta	5	3	66
5096	kata-katta	5	4	65.3333333333333
5096	kata-katta	5	5	50
5096	kata-katta	5	6	97
5096	kata-katta	5	7	98.6666666666667
5096	toru-tooru	1	1	7.33333333333333
5096	toru-tooru	1	2	5.66666666666667
5096	toru-tooru	1	3	65.6666666666667
5096	toru-tooru	1	4	94
5096	toru-tooru	1	5	93.6666666666667
5096	toru-tooru	1	6	96
5096	toru-tooru	1	7	96
5096	toru-tooru	2	1	1
5096	toru-tooru	2	2	6
5096	toru-tooru	2	3	34.3333333333333
5096	toru-tooru	2	4	64.6666666666667
5096	toru-tooru	2	5	96.3333333333333
5096	toru-tooru	2	6	93.3333333333333
5096	toru-tooru	2	7	97
5096	toru-tooru	3	1	4
5096	toru-tooru	3	2	2.33333333333333
5096	toru-tooru	3	3	4.5
5096	toru-tooru	3	4	90
5096	toru-tooru	3	5	97
5096	toru-tooru	3	6	94.6666666666667
5096	toru-tooru	3	7	93.3333333333333
5096	toru-tooru	4	1	5.66666666666667
5096	toru-tooru	4	2	5
5096	toru-tooru	4	3	34.6666666666667
5096	toru-tooru	4	4	64.6666666666667
5096	toru-tooru	4	5	97
5096	toru-tooru	4	6	93
5096	toru-tooru	4	7	97
5096	toru-tooru	5	1	4.33333333333333
5096	toru-tooru	5	2	28.3333333333333
5096	toru-tooru	5	3	4.33333333333333
5096	toru-tooru	5	4	92.6666666666667
5096	toru-tooru	5	5	97.3333333333333
5096	toru-tooru	5	6	95
5096	toru-tooru	5	7	94
5098	indent-intent	1	1	3.66666666666667
5098	indent-intent	1	2	2
5098	indent-intent	1	3	6.66666666666667
5098	indent-intent	1	4	33.6666666666667
5098	indent-intent	1	5	95
5098	indent-intent	1	6	91.6666666666667
5098	indent-intent	1	7	94.3333333333333
5098	indent-intent	2	1	15
5098	indent-intent	2	2	3.66666666666667
5098	indent-intent	2	3	1.66666666666667
5098	indent-intent	2	4	79
5098	indent-intent	2	5	89.3333333333333
5098	indent-intent	2	6	94.3333333333333
5098	indent-intent	2	7	94.6666666666667
5098	indent-intent	3	1	5
5098	indent-intent	3	2	6
5098	indent-intent	3	3	8
5098	indent-intent	3	4	43.3333333333333
5098	indent-intent	3	5	92.6666666666667
5098	indent-intent	3	6	92.3333333333333
5098	indent-intent	3	7	95
5098	indent-intent	4	1	5.66666666666667
5098	indent-intent	4	2	3.66666666666667
5098	indent-intent	4	3	7.33333333333333
5098	indent-intent	4	4	91
5098	indent-intent	4	5	99
5098	indent-intent	4	6	96
5098	indent-intent	4	7	95
5098	indent-intent	5	1	8
5098	indent-intent	5	2	2
5098	indent-intent	5	3	40.6666666666667
5098	indent-intent	5	4	99.3333333333333
5098	indent-intent	5	5	95
5098	indent-intent	5	6	89.6666666666667
5098	indent-intent	5	7	96.6666666666667
5098	reason-risen	1	1	15
5098	reason-risen	1	2	75.6666666666667
5098	reason-risen	1	3	18.6666666666667
5098	reason-risen	1	4	37
5098	reason-risen	1	5	58.6666666666667
5098	reason-risen	1	6	55.3333333333333
5098	reason-risen	1	7	74.6666666666667
5098	reason-risen	2	1	39.6666666666667
5098	reason-risen	2	2	16.6666666666667
5098	reason-risen	2	3	18.5
5098	reason-risen	2	4	54.3333333333333
5098	reason-risen	2	5	93
5098	reason-risen	2	6	59
5098	reason-risen	2	7	84.6666666666667
5098	reason-risen	3	1	33.6666666666667
5098	reason-risen	3	2	21
5098	reason-risen	3	3	32.6666666666667
5098	reason-risen	3	4	31
5098	reason-risen	3	5	74
5098	reason-risen	3	6	55
5098	reason-risen	3	7	84.6666666666667
5098	reason-risen	4	1	14
5098	reason-risen	4	2	62
5098	reason-risen	4	3	46.5
5098	reason-risen	4	4	59.3333333333333
5098	reason-risen	4	5	81
5098	reason-risen	4	6	80
5098	reason-risen	4	7	73
5098	reason-risen	5	1	73.6666666666667
5098	reason-risen	5	2	54.6666666666667
5098	reason-risen	5	3	56.3333333333333
5098	reason-risen	5	4	72
5098	reason-risen	5	5	34
5098	reason-risen	5	6	77.6666666666667
5098	reason-risen	5	7	58
5098	kata-katta	1	1	9
5098	kata-katta	1	2	21.3333333333333
5098	kata-katta	1	3	65.3333333333333
5098	kata-katta	1	4	61.6666666666667
5098	kata-katta	1	5	81.6666666666667
5098	kata-katta	1	6	75
5098	kata-katta	1	7	81.6666666666667
5098	kata-katta	2	1	17
5098	kata-katta	2	2	63
5098	kata-katta	2	3	21.6666666666667
5098	kata-katta	2	4	40
5098	kata-katta	2	5	82.3333333333333
5098	kata-katta	2	6	57.3333333333333
5098	kata-katta	2	7	70
5098	kata-katta	3	1	15.3333333333333
5098	kata-katta	3	2	31.5
5098	kata-katta	3	3	45.3333333333333
5098	kata-katta	3	4	87.5
5098	kata-katta	3	5	80
5098	kata-katta	3	6	74
5098	kata-katta	3	7	87.5
5098	kata-katta	4	1	18
5098	kata-katta	4	2	38.3333333333333
5098	kata-katta	4	3	58
5098	kata-katta	4	4	36.3333333333333
5098	kata-katta	4	5	59.6666666666667
5098	kata-katta	4	6	83
5098	kata-katta	4	7	65.3333333333333
5098	kata-katta	5	1	22
5098	kata-katta	5	2	41
5098	kata-katta	5	3	55.6666666666667
5098	kata-katta	5	4	39.3333333333333
5098	kata-katta	5	5	37.6666666666667
5098	kata-katta	5	6	63.6666666666667
5098	kata-katta	5	7	87.6666666666667
5098	toru-tooru	1	1	18
5098	toru-tooru	1	2	13
5098	toru-tooru	1	3	43.6666666666667
5098	toru-tooru	1	4	63.3333333333333
5098	toru-tooru	1	5	47.5
5098	toru-tooru	1	6	84
5098	toru-tooru	1	7	94
5098	toru-tooru	2	1	66.6666666666667
5098	toru-tooru	2	2	13.6666666666667
5098	toru-tooru	2	3	27
5098	toru-tooru	2	4	61.3333333333333
5098	toru-tooru	2	5	82.5
5098	toru-tooru	2	6	85
5098	toru-tooru	2	7	83
5098	toru-tooru	3	1	15
5098	toru-tooru	3	2	21
5098	toru-tooru	3	3	17.3333333333333
5098	toru-tooru	3	4	74
5098	toru-tooru	3	5	84
5098	toru-tooru	3	6	85.3333333333333
5098	toru-tooru	3	7	88
5098	toru-tooru	4	1	17
5098	toru-tooru	4	2	40.6666666666667
5098	toru-tooru	4	3	44
5098	toru-tooru	4	4	49
5098	toru-tooru	4	5	58
5098	toru-tooru	4	6	85
5098	toru-tooru	4	7	90.3333333333333
5098	toru-tooru	5	1	15
5098	toru-tooru	5	2	18
5098	toru-tooru	5	3	24
5098	toru-tooru	5	4	59.6666666666667
5098	toru-tooru	5	5	82.6666666666667
5098	toru-tooru	5	6	81.3333333333333
5098	toru-tooru	5	7	90
5103	indent-intent	1	1	7.5
5103	indent-intent	1	2	1.33333333333333
5103	indent-intent	1	3	36.6666666666667
5103	indent-intent	1	4	70.6666666666667
5103	indent-intent	1	5	87.3333333333333
5103	indent-intent	1	6	86
5103	indent-intent	1	7	92.5
5103	indent-intent	2	1	1
5103	indent-intent	2	2	7
5103	indent-intent	2	3	40.6666666666667
5103	indent-intent	2	4	95.5
5103	indent-intent	2	5	86
5103	indent-intent	2	6	88.5
5103	indent-intent	2	7	97.3333333333333
5103	indent-intent	3	1	2.33333333333333
5103	indent-intent	3	2	7
5103	indent-intent	3	3	82.3333333333333
5103	indent-intent	3	4	61.3333333333333
5103	indent-intent	3	5	86.3333333333333
5103	indent-intent	3	6	84.3333333333333
5103	indent-intent	3	7	93.3333333333333
5103	indent-intent	4	1	8.5
5103	indent-intent	4	2	34.5
5103	indent-intent	4	3	75.3333333333333
5103	indent-intent	4	4	59
5103	indent-intent	4	5	83
5103	indent-intent	4	6	98.3333333333333
5103	indent-intent	4	7	86
5103	indent-intent	5	1	11.3333333333333
5103	indent-intent	5	2	27
5103	indent-intent	5	3	83.5
5103	indent-intent	5	4	85
5103	indent-intent	5	5	84.3333333333333
5103	indent-intent	5	6	71
5103	indent-intent	5	7	95.6666666666667
5103	reason-risen	1	1	2.33333333333333
5103	reason-risen	1	2	2.33333333333333
5103	reason-risen	1	3	21
5103	reason-risen	1	4	59
5103	reason-risen	1	5	74.3333333333333
5103	reason-risen	1	6	92
5103	reason-risen	1	7	92.6666666666667
5103	reason-risen	2	1	1.33333333333333
5103	reason-risen	2	2	5.66666666666667
5103	reason-risen	2	3	12.6666666666667
5103	reason-risen	2	4	76
5103	reason-risen	2	5	89.3333333333333
5103	reason-risen	2	6	92.6666666666667
5103	reason-risen	2	7	87.6666666666667
5103	reason-risen	3	1	2
5103	reason-risen	3	2	4.66666666666667
5103	reason-risen	3	3	19.3333333333333
5103	reason-risen	3	4	73.3333333333333
5103	reason-risen	3	5	49
5103	reason-risen	3	6	89
5103	reason-risen	3	7	96
5103	reason-risen	4	1	3.5
5103	reason-risen	4	2	5.33333333333333
5103	reason-risen	4	3	4
5103	reason-risen	4	4	60.3333333333333
5103	reason-risen	4	5	89.6666666666667
5103	reason-risen	4	6	89.3333333333333
5103	reason-risen	4	7	84.6666666666667
5103	reason-risen	5	1	5.66666666666667
5103	reason-risen	5	2	8.66666666666667
5103	reason-risen	5	3	16.6666666666667
5103	reason-risen	5	4	41.6666666666667
5103	reason-risen	5	5	94.6666666666667
5103	reason-risen	5	6	85
5103	reason-risen	5	7	88.3333333333333
5103	kata-katta	1	1	36.6666666666667
5103	kata-katta	1	2	29
5103	kata-katta	1	3	57.5
5103	kata-katta	1	4	54
5103	kata-katta	1	5	73.3333333333333
5103	kata-katta	1	6	43.3333333333333
5103	kata-katta	1	7	81.3333333333333
5103	kata-katta	2	1	45
5103	kata-katta	2	2	72.6666666666667
5103	kata-katta	2	3	50
5103	kata-katta	2	4	29
5103	kata-katta	2	5	62.6666666666667
5103	kata-katta	2	6	50
5103	kata-katta	2	7	49.3333333333333
5103	kata-katta	3	1	3.66666666666667
5103	kata-katta	3	2	35.6666666666667
5103	kata-katta	3	3	29.6666666666667
5103	kata-katta	3	4	47.6666666666667
5103	kata-katta	3	5	60
5103	kata-katta	3	6	75
5103	kata-katta	3	7	84
5103	kata-katta	4	1	12.3333333333333
5103	kata-katta	4	2	41
5103	kata-katta	4	3	51
5103	kata-katta	4	4	40
5103	kata-katta	4	5	41.3333333333333
5103	kata-katta	4	6	78.5
5103	kata-katta	4	7	62.3333333333333
5103	kata-katta	5	1	43.6666666666667
5103	kata-katta	5	2	46.3333333333333
5103	kata-katta	5	3	60
5103	kata-katta	5	4	32
5103	kata-katta	5	5	49.5
5103	kata-katta	5	6	41.3333333333333
5103	kata-katta	5	7	80
5103	toru-tooru	1	1	2
5103	toru-tooru	1	2	31.6666666666667
5103	toru-tooru	1	3	34.3333333333333
5103	toru-tooru	1	4	96.6666666666667
5103	toru-tooru	1	5	94.6666666666667
5103	toru-tooru	1	6	97.6666666666667
5103	toru-tooru	1	7	95.5
5103	toru-tooru	2	1	3.5
5103	toru-tooru	2	2	6.33333333333333
5103	toru-tooru	2	3	6.66666666666667
5103	toru-tooru	2	4	67.3333333333333
5103	toru-tooru	2	5	64.6666666666667
5103	toru-tooru	2	6	59.6666666666667
5103	toru-tooru	2	7	94.6666666666667
5103	toru-tooru	3	1	0.666666666666667
5103	toru-tooru	3	2	34.6666666666667
5103	toru-tooru	3	3	34
5103	toru-tooru	3	4	46.5
5103	toru-tooru	3	5	68.6666666666667
5103	toru-tooru	3	6	3.66666666666667
5103	toru-tooru	3	7	94.3333333333333
5103	toru-tooru	4	1	2.33333333333333
5103	toru-tooru	4	2	33.6666666666667
5103	toru-tooru	4	3	92
5103	toru-tooru	4	4	57
5103	toru-tooru	4	5	44.5
5103	toru-tooru	4	6	97
5103	toru-tooru	4	7	94
5103	toru-tooru	5	1	2.33333333333333
5103	toru-tooru	5	2	4
5103	toru-tooru	5	3	33
5103	toru-tooru	5	4	48.6666666666667
5103	toru-tooru	5	5	98.5
5103	toru-tooru	5	6	66
5103	toru-tooru	5	7	81.3333333333333
5114	indent-intent	1	1	4
5114	indent-intent	1	2	3.66666666666667
5114	indent-intent	1	3	6.33333333333333
5114	indent-intent	1	4	72
5114	indent-intent	1	5	97.3333333333333
5114	indent-intent	1	6	98
5114	indent-intent	1	7	99
5114	indent-intent	2	1	3
5114	indent-intent	2	2	2
5114	indent-intent	2	3	63.5
5114	indent-intent	2	4	95.6666666666667
5114	indent-intent	2	5	96.3333333333333
5114	indent-intent	2	6	98
5114	indent-intent	2	7	97.3333333333333
5114	indent-intent	3	1	3.66666666666667
5114	indent-intent	3	2	2
5114	indent-intent	3	3	4.33333333333333
5114	indent-intent	3	4	89.6666666666667
5114	indent-intent	3	5	99.3333333333333
5114	indent-intent	3	6	96.6666666666667
5114	indent-intent	3	7	99
5114	indent-intent	4	1	35
5114	indent-intent	4	2	46
5114	indent-intent	4	3	73.6666666666667
5114	indent-intent	4	4	98.3333333333333
5114	indent-intent	4	5	97
5114	indent-intent	4	6	95.6666666666667
5114	indent-intent	4	7	97
5114	indent-intent	5	1	1.66666666666667
5114	indent-intent	5	2	53
5114	indent-intent	5	3	96.6666666666667
5114	indent-intent	5	4	96.6666666666667
5114	indent-intent	5	5	98
5114	indent-intent	5	6	97.6666666666667
5114	indent-intent	5	7	96.5
5114	reason-risen	1	1	1.33333333333333
5114	reason-risen	1	2	1
5114	reason-risen	1	3	1
5114	reason-risen	1	4	1
5114	reason-risen	1	5	1
5114	reason-risen	1	6	1
5114	reason-risen	1	7	1.33333333333333
5114	reason-risen	2	1	1
5114	reason-risen	2	2	10.3333333333333
5114	reason-risen	2	3	33.6666666666667
5114	reason-risen	2	4	34
5114	reason-risen	2	5	0
5114	reason-risen	2	6	33.6666666666667
5114	reason-risen	2	7	33.6666666666667
5114	reason-risen	3	1	35
5114	reason-risen	3	2	96
5114	reason-risen	3	3	34
5114	reason-risen	3	4	99
5114	reason-risen	3	5	65.6666666666667
5114	reason-risen	3	6	99
5114	reason-risen	3	7	44.6666666666667
5114	reason-risen	4	1	66.6666666666667
5114	reason-risen	4	2	99
5114	reason-risen	4	3	97.3333333333333
5114	reason-risen	4	4	98.3333333333333
5114	reason-risen	4	5	98
5114	reason-risen	4	6	98.5
5114	reason-risen	4	7	100
5114	reason-risen	5	1	98.3333333333333
5114	reason-risen	5	2	98.6666666666667
5114	reason-risen	5	3	99
5114	reason-risen	5	4	99.3333333333333
5114	reason-risen	5	5	98.6666666666667
5114	reason-risen	5	6	97
5114	reason-risen	5	7	99.6666666666667
5114	kata-katta	1	1	6.33333333333333
5114	kata-katta	1	2	2.66666666666667
5114	kata-katta	1	3	39
5114	kata-katta	1	4	32.6666666666667
5114	kata-katta	1	5	60.3333333333333
5114	kata-katta	1	6	95.6666666666667
5114	kata-katta	1	7	90.6666666666667
5114	kata-katta	2	1	6.66666666666667
5114	kata-katta	2	2	8
5114	kata-katta	2	3	11.3333333333333
5114	kata-katta	2	4	33.6666666666667
5114	kata-katta	2	5	67.6666666666667
5114	kata-katta	2	6	88
5114	kata-katta	2	7	85
5114	kata-katta	3	1	4.33333333333333
5114	kata-katta	3	2	8.33333333333333
5114	kata-katta	3	3	8.5
5114	kata-katta	3	4	8
5114	kata-katta	3	5	63
5114	kata-katta	3	6	78
5114	kata-katta	3	7	96.6666666666667
5114	kata-katta	4	1	5.33333333333333
5114	kata-katta	4	2	23
5114	kata-katta	4	3	27.3333333333333
5114	kata-katta	4	4	43.6666666666667
5114	kata-katta	4	5	95
5114	kata-katta	4	6	90
5114	kata-katta	4	7	88.6666666666667
5114	kata-katta	5	1	0.5
5114	kata-katta	5	2	8.66666666666667
5114	kata-katta	5	3	6.33333333333333
5114	kata-katta	5	4	62.6666666666667
5114	kata-katta	5	5	61.6666666666667
5114	kata-katta	5	6	73
5114	kata-katta	5	7	95
5114	toru-tooru	1	1	4
5114	toru-tooru	1	2	5
5114	toru-tooru	1	3	34.3333333333333
5114	toru-tooru	1	4	62.3333333333333
5114	toru-tooru	1	5	73.6666666666667
5114	toru-tooru	1	6	98
5114	toru-tooru	1	7	97.3333333333333
5114	toru-tooru	2	1	6
5114	toru-tooru	2	2	3.66666666666667
5114	toru-tooru	2	3	0.666666666666667
5114	toru-tooru	2	4	63
5114	toru-tooru	2	5	61.6666666666667
5114	toru-tooru	2	6	95.3333333333333
5114	toru-tooru	2	7	98
5114	toru-tooru	3	1	4
5114	toru-tooru	3	2	2
5114	toru-tooru	3	3	7
5114	toru-tooru	3	4	83
5114	toru-tooru	3	5	96
5114	toru-tooru	3	6	97.3333333333333
5114	toru-tooru	3	7	97.3333333333333
5114	toru-tooru	4	1	1.5
5114	toru-tooru	4	2	2.66666666666667
5114	toru-tooru	4	3	5.66666666666667
5114	toru-tooru	4	4	62.3333333333333
5114	toru-tooru	4	5	98
5114	toru-tooru	4	6	96.5
5114	toru-tooru	4	7	93.6666666666667
5114	toru-tooru	5	1	2.66666666666667
5114	toru-tooru	5	2	3.33333333333333
5114	toru-tooru	5	3	8
5114	toru-tooru	5	4	90.6666666666667
5114	toru-tooru	5	5	95.3333333333333
5114	toru-tooru	5	6	94.3333333333333
5114	toru-tooru	5	7	97
5138	indent-intent	1	1	1
5138	indent-intent	1	2	0.5
5138	indent-intent	1	3	22.3333333333333
5138	indent-intent	1	4	1.5
5138	indent-intent	1	5	92.3333333333333
5138	indent-intent	1	6	96.6666666666667
5138	indent-intent	1	7	100
5138	indent-intent	2	1	2.66666666666667
5138	indent-intent	2	2	36
5138	indent-intent	2	3	20.3333333333333
5138	indent-intent	2	4	10
5138	indent-intent	2	5	88
5138	indent-intent	2	6	53.5
5138	indent-intent	2	7	97.6666666666667
5138	indent-intent	3	1	0.333333333333333
5138	indent-intent	3	2	0.666666666666667
5138	indent-intent	3	3	41.3333333333333
5138	indent-intent	3	4	91.3333333333333
5138	indent-intent	3	5	96.6666666666667
5138	indent-intent	3	6	97.3333333333333
5138	indent-intent	3	7	96.6666666666667
5138	indent-intent	4	1	22.3333333333333
5138	indent-intent	4	2	36.6666666666667
5138	indent-intent	4	3	42
5138	indent-intent	4	4	60
5138	indent-intent	4	5	82.6666666666667
5138	indent-intent	4	6	70.6666666666667
5138	indent-intent	4	7	98.5
5138	indent-intent	5	1	0.5
5138	indent-intent	5	2	52.6666666666667
5138	indent-intent	5	3	9
5138	indent-intent	5	4	29.6666666666667
5138	indent-intent	5	5	97.6666666666667
5138	indent-intent	5	6	96
5138	indent-intent	5	7	96
5138	reason-risen	1	1	1
5138	reason-risen	1	2	12.6666666666667
5138	reason-risen	1	3	25.3333333333333
5138	reason-risen	1	4	77.6666666666667
5138	reason-risen	1	5	95
5138	reason-risen	1	6	96.3333333333333
5138	reason-risen	1	7	99.6666666666667
5138	reason-risen	2	1	0.666666666666667
