Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
29,1745535810033,24/04/2025 23:03:30,1745521410033,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Country 1-value,,,,Country 1,3,object-19,English,Spanish,Japanese,,,,,,,,,,,,
30,1745535810034,24/04/2025 23:03:30,1745521410034,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 1,3,object-19,English,Spanish,Japanese,,,,,,,,,,,,
31,1745535810034,24/04/2025 23:03:30,1745521410034,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Language-value,,,,Country 1,3,object-19,English,Spanish,Japanese,,,,,,,,,,,,
32,1745535810034,24/04/2025 23:03:30,1745521410034,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 1 Frequency,4,object-20,English,Spanish,Japanese,,,,,,,,,,,,
33,1745535810035,24/04/2025 23:03:30,1745521410035,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 1 Frequency,4,object-20,English,Spanish,Japanese,,,,,,,,,,,,
34,1745535810036,24/04/2025 23:03:30,1745521410036,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Country 2-value,,,,Country 2,5,object-21,English,Spanish,Japanese,,,,,,,,,,,,
35,1745535810036,24/04/2025 23:03:30,1745521410036,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 2,5,object-21,English,Spanish,Japanese,,,,,,,,,,,,
36,1745535810037,24/04/2025 23:03:30,1745521410037,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Language-value,,,,Country 2,5,object-21,English,Spanish,Japanese,,,,,,,,,,,,
37,1745535810039,24/04/2025 23:03:30,1745521410039,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 2 Frequency,6,object-81,English,Spanish,Japanese,,,,,,,,,,,,
38,1745535810039,24/04/2025 23:03:30,1745521410039,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 2 Frequency,6,object-81,English,Spanish,Japanese,,,,,,,,,,,,
39,1745535810040,24/04/2025 23:03:30,1745521410040,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Country 3-value,,,,Country 3,7,object-23,English,Spanish,Japanese,,,,,,,,,,,,
40,1745535810040,24/04/2025 23:03:30,1745521410040,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 3,7,object-23,English,Spanish,Japanese,,,,,,,,,,,,
41,1745535810041,24/04/2025 23:03:30,1745521410041,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Language-value,,,,Country 3,7,object-23,English,Spanish,Japanese,,,,,,,,,,,,
42,1745535810041,24/04/2025 23:03:30,1745521410041,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,value,,,,Country 3 Frequency,8,object-82,English,Spanish,Japanese,,,,,,,,,,,,
43,1745535810041,24/04/2025 23:03:30,1745521410041,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,Frequency of use,response,quantised,,,,Country 3 Frequency,8,object-82,English,Spanish,Japanese,,,,,,,,,,,,
44,1745535810042,24/04/2025 23:03:30,1745521410042,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Country 4-value,,,,Country 4,9,object-25,English,Spanish,Japanese,,,,,,,,,,,,
45,1745535810043,24/04/2025 23:03:30,1745521410043,-4,24/04/2025 15:03:30,220234,3,questionnaire-9kaq,,45628692,BLIND,13043763,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1707x1067,1707x932,day 1 complete,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-different J-same,spreadsheet4,,spreadsheet4,,,day 1 complete,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,,,,Country 4,9,object-25,English,Spanish,Japanese,,,,,,,,,,,,
