Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Language-1,Store: Language-2,Store: Language-3,Store: Language-4,Store: Watching-hours,Store: Listening-hours,Store: Games-hours,Store: Internet-hours,Store: Home-hours,Store: Family-hours,Store: Social-hours,Store: Work-school-hours,Store: Out-of-home-hours,Store: Other-hours,Store: Other-specification
11,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,,response,Language 2-value,Chinese,,,Language 2,10,object-11,English,Chinese,Japanese,,,,,,,,,,,,
12,1745428763655,23/04/2025 17:19:23,1745414363655,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Listening,response,value,0,,,Language 2 Listening,12,object-198,English,Chinese,Japanese,,,,,,,,,,,,
13,1745428763656,23/04/2025 17:19:23,1745414363656,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Speaking,response,value,1,,,Language 2 Speaking,13,object-199,English,Chinese,Japanese,,,,,,,,,,,,
14,1745428763656,23/04/2025 17:19:23,1745414363656,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Reading,response,value,21,,,Language 2 Reading,14,object-200,English,Chinese,Japanese,,,,,,,,,,,,
15,1745428763656,23/04/2025 17:19:23,1745414363656,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Writing,response,value,21,,,Language 2 Writing,15,object-201,English,Chinese,Japanese,,,,,,,,,,,,
16,1745428763656,23/04/2025 17:19:23,1745414363656,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Years of use**,response,value,21,,,Language 2 Years of use,16,object-202,English,Chinese,Japanese,,,,,,,,,,,,
17,1745428763656,23/04/2025 17:19:23,1745414363656,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,,response,Language 3-value,Japanese,,,Language 3,17,object-14,English,Chinese,Japanese,,,,,,,,,,,,
18,1745428763657,23/04/2025 17:19:23,1745414363657,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Listening,response,value,14,,,Language 3 Listening,19,object-204,English,Chinese,Japanese,,,,,,,,,,,,
19,1745428763657,23/04/2025 17:19:23,1745414363657,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Speaking,response,value,14,,,Language 3 Speaking,20,object-205,English,Chinese,Japanese,,,,,,,,,,,,
20,1745428763657,23/04/2025 17:19:23,1745414363657,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Reading,response,value,14,,,Language 3 Reading,21,object-206,English,Chinese,Japanese,,,,,,,,,,,,
21,1745428763658,23/04/2025 17:19:23,1745414363658,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Writing,response,value,14,,,Language 3 Writing,22,object-207,English,Chinese,Japanese,,,,,,,,,,,,
22,1745428763658,23/04/2025 17:19:23,1745414363658,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Years of use**,response,value,5,,,Language 3 Years of use,23,object-208,English,Chinese,Japanese,,,,,,,,,,,,
23,1745428763658,23/04/2025 17:19:23,1745414363658,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,,response,Language 4-value,,,,Language 4,24,object-15,English,Chinese,Japanese,,,,,,,,,,,,
24,1745428763658,23/04/2025 17:19:23,1745414363658,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Listening,response,value,,,,Language 4 Listening,26,object-209,English,Chinese,Japanese,,,,,,,,,,,,
25,1745428763659,23/04/2025 17:19:23,1745414363659,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Speaking,response,value,,,,Language 4 Speaking,27,object-211,English,Chinese,Japanese,,,,,,,,,,,,
26,1745428763659,23/04/2025 17:19:23,1745414363659,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Reading,response,value,,,,Language 4 Reading,28,object-212,English,Chinese,Japanese,,,,,,,,,,,,
27,1745428763659,23/04/2025 17:19:23,1745414363659,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Writing,response,value,,,,Language 4 Writing,29,object-213,English,Chinese,Japanese,,,,,,,,,,,,
28,1745428763659,23/04/2025 17:19:23,1745414363659,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 3,n2j8m2,3,Years of use**,response,value,,,,Language 4 Years of use,30,object-214,English,Chinese,Japanese,,,,,,,,,,,,
29,1745428763660,23/04/2025 17:19:23,1745414363660,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Country 1-value,United States of America,,,Country 1,3,object-19,English,Chinese,Japanese,,,,,,,,,,,,
30,1745428763660,23/04/2025 17:19:23,1745414363660,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,252,,,Country 1,3,object-19,English,Chinese,Japanese,,,,,,,,,,,,
31,1745428763660,23/04/2025 17:19:23,1745414363660,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Language-value,English,,,Country 1,3,object-19,English,Chinese,Japanese,,,,,,,,,,,,
32,1745428763660,23/04/2025 17:19:23,1745414363660,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,Frequency of use,response,value,7,,,Country 1 Frequency,4,object-20,English,Chinese,Japanese,,,,,,,,,,,,
33,1745428763661,23/04/2025 17:19:23,1745414363661,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,Frequency of use,response,quantised,7,,,Country 1 Frequency,4,object-20,English,Chinese,Japanese,,,,,,,,,,,,
34,1745428763661,23/04/2025 17:19:23,1745414363661,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Country 2-value,China,,,Country 2,5,object-21,English,Chinese,Japanese,,,,,,,,,,,,
35,1745428763661,23/04/2025 17:19:23,1745414363661,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Length of stay (in months)-value,6,,,Country 2,5,object-21,English,Chinese,Japanese,,,,,,,,,,,,
36,1745428763662,23/04/2025 17:19:23,1745414363662,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,,response,Language-value,Chinese,,,Country 2,5,object-21,English,Chinese,Japanese,,,,,,,,,,,,
37,1745428763662,23/04/2025 17:19:23,1745414363662,-4,23/04/2025 09:19:23,220221,4,questionnaire-9kaq,repeat-7t26#4,45595203,BLIND,13062464,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1470x956,1470x798,final training complete DIFSAME,,0,Linguistic Diversity Questionnaire (LD-Q),6,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet3,,spreadsheet1,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,ts9c7h,4,Frequency of use,response,value,7,,,Country 2 Frequency,6,object-81,English,Chinese,Japanese,,,,,,,,,,,,
