Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ufbv,branch-x9dy,branch-62yz,branch-1uap,randomiser-axxj,allocator-flaz,randomiser-9tbp,allocator-cukp,randomiser-fgpw,checkpoint-3r84,checkpoint-l4ng,checkpoint-wo1n,checkpoint-x4vd,checkpoint-1bol,checkpoint-a1y4,checkpoint-pifd,checkpoint-f46v,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: exit,Store: hearing,Store: cognitive,Store: birthplace,Store: native,Store: region,Store: immersion,Store: proficiency,Store: languageLearning,Store: japaneseExperience,Store: age,Store: consent,Store: understand,Store: eligible,Store: enrolled
11,1745554833686,25/04/2025 04:20:33,1745529633686,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have no history of learning disability or memory impairment. ,response,quantised,1,,Correct|Incorrect,Cognitive,6,object-22,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
12,1745554833687,25/04/2025 04:20:33,1745529633687,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am currently enrolled in a Japanese language course.,response,value,Correct,,Correct|Incorrect,Enrolled,7,object-23,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
13,1745554833688,25/04/2025 04:20:33,1745529633688,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am currently enrolled in a Japanese language course.,response,quantised,1,,Correct|Incorrect,Enrolled,7,object-23,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
14,1745554833688,25/04/2025 04:20:33,1745529633688,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,"Please provide the university and course number (this information is used for data collection purposes only, and your performance in the study will in no way impact your course grades): ",response,value,"University of Washington, JAPAN 303",,,Course,8,object-34,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
15,1745554833689,25/04/2025 04:20:33,1745529633689,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,,,,eligible,response,score,0,,,,,,,,,,,,,,,,,,,,
16,1745554833690,25/04/2025 04:20:33,1745529633690,-7,24/04/2025 14:20:33,220732,2,questionnaire-re3n,,45630601,BLIND,13263579,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1280x800,1272x674,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet1,,spreadsheet1,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,,,,,info,,END,280660,,,,,,,,,,,,,,,,,,,
1,1745532534866,24/04/2025 22:08:54,1745507334866,-7,24/04/2025 08:08:54,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,
2,1745532711167,24/04/2025 22:11:51,1745507511167,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am age 18 or older. ,response,value,Yes,,Yes|No,Age,2,object-31,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
3,1745532711167,24/04/2025 22:11:51,1745507511167,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am age 18 or older. ,response,quantised,1,,Yes|No,Age,2,object-31,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
4,1745532711167,24/04/2025 22:11:51,1745507511167,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have read and understand the information above.,response,value,Yes,,Yes|No,Understand,3,object-32,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
5,1745532711167,24/04/2025 22:11:51,1745507511167,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have read and understand the information above.,response,quantised,1,,Yes|No,Understand,3,object-32,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
6,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I want to participate in this research and continue with the task.,response,value,Yes,,Yes|No,Consent,4,object-33,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
7,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I want to participate in this research and continue with the task.,response,quantised,1,,Yes|No,Consent,4,object-33,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
8,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have no history of hearing impairment or auditory processing disorder.,response,value,Correct,,Correct|Incorrect,Hearing,5,object-21,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
9,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have no history of hearing impairment or auditory processing disorder.,response,quantised,1,,Correct|Incorrect,Hearing,5,object-21,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
10,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have no history of learning disability or memory impairment. ,response,value,Correct,,Correct|Incorrect,Cognitive,6,object-22,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
11,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I have no history of learning disability or memory impairment. ,response,quantised,1,,Correct|Incorrect,Cognitive,6,object-22,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
12,1745532711168,24/04/2025 22:11:51,1745507511168,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am currently enrolled in a Japanese language course.,response,value,Correct,,Correct|Incorrect,Enrolled,7,object-23,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
13,1745532711169,24/04/2025 22:11:51,1745507511169,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,I am currently enrolled in a Japanese language course.,response,quantised,1,,Correct|Incorrect,Enrolled,7,object-23,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
14,1745532711169,24/04/2025 22:11:51,1745507511169,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,Page 4,dux2jd,4,"Please provide the university and course number (this information is used for data collection purposes only, and your performance in the study will in no way impact your course grades): ",response,value,University of Washington JAPAN 203,,,Course,8,object-34,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
15,1745532711169,24/04/2025 22:11:51,1745507511169,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,,,,eligible,response,score,0,,,,,,,,,,,,,,,,,,,,
16,1745532711169,24/04/2025 22:11:51,1745507511169,-7,24/04/2025 08:11:51,220732,2,questionnaire-re3n,,45628289,BLIND,13263314,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3.1,1680x1050,1675x876,final training complete SAMEDIF,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,SucceededHeadphoneCheck,,eligible,F-same J-different,spreadsheet3,,spreadsheet4,,training session 1 complete,,day 1 complete,,completed training session,final training complete SAMEDIF,,,,,,,info,,END,176213,,,,,,,,,,,,,,,,,,,
1,1745460296833,24/04/2025 02:04:56,1745435096833,-7,23/04/2025 12:04:56,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,
2,1745462145236,24/04/2025 02:35:45,1745436945236,-7,23/04/2025 12:35:45,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,,,,,info,,BEGIN,,,,,,,,,,,,,,,,,,,,
3,1745470480404,24/04/2025 04:54:40,1745445280404,-7,23/04/2025 14:54:40,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,dux2jd,4,I am age 18 or older. ,response,value,Yes,,Yes|No,Age,2,object-31,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
4,1745470480404,24/04/2025 04:54:40,1745445280404,-7,23/04/2025 14:54:40,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,dux2jd,4,I am age 18 or older. ,response,quantised,1,,Yes|No,Age,2,object-31,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
5,1745470480404,24/04/2025 04:54:40,1745445280404,-7,23/04/2025 14:54:40,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,dux2jd,4,I have read and understand the information above.,response,value,Yes,,Yes|No,Understand,3,object-32,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
6,1745470480404,24/04/2025 04:54:40,1745445280404,-7,23/04/2025 14:54:40,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,dux2jd,4,I have read and understand the information above.,response,quantised,1,,Yes|No,Understand,3,object-32,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
7,1745470480405,24/04/2025 04:54:40,1745445280405,-7,23/04/2025 14:54:40,220732,2,questionnaire-re3n,,45605908,BLIND,13266023,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1710x1107,1710x947,final training complete DIFSAME,,0,Consent Form Study 3 Experimental Groups,2,SucceededAutoplayCheck,FailedHeadphoneCheck,SucceededHeadphoneCheck,eligible,F-different J-same,spreadsheet4,,spreadsheet2,,,training session 1 complete,,day 1 complete,,,completed training session,final training complete DIFSAME,Page 4,dux2jd,4,I want to participate in this research and continue with the task.,response,value,Yes,,Yes|No,Consent,4,object-33,,Correct,Correct,,,,,,,,Yes,Yes,Yes,0,Correct
